# Name lon lat v_east v_north v_up e_east e_north e_up 
SFON 121.0102 24.9329 0.01408 -0.02155 nan 0.00066 0.0008 0.00253 
SGAN 120.3497 22.5813 -0.01394 -0.01018 nan 0.00091 0.0011 0.00346 
SGUN 120.6919 24.2716 0.03782 -0.01174 nan 0.00064 0.00078 0.00246 
SHUL 121.5627 23.7876 -0.02985 -0.15401 nan 0.00086 0.00103 0.00327 
SHWA 120.3478 23.0214 0.00431 -0.00229 nan 0.00059 0.00072 0.00227 
SLI1 121.4414 23.8119 0.02556 -0.0346 nan 0.001 0.00121 0.00383 
SLNP 121.6356 24.7531 0.01863 -0.01786 nan 0.00058 0.0007 0.00223 
SNDI 120.6406 22.7173 0.00708 0.00081 nan 0.0007 0.00084 0.00266 
SON3 120.9859 24.3978 0.07957 -0.02319 nan 0.00085 0.00103 0.00325 
SUA1 120.2999 23.4776 0.01021 -0.00517 nan 0.00057 0.00069 0.00218 
SUA2 121.8477 24.6157 0.02832 0.01031 nan 0.00059 0.00071 0.00223 
SUN2 120.9084 23.8812 0.04465 0.00489 nan 0.0006 0.00073 0.00229 
TAN2 121.4314 25.1785 0.00378 -0.01335 nan 0.00049 0.00059 0.00187 
TAT3 120.887 23.4814 -0.03681 -0.014 nan 0.00191 0.0023 0.00727 
TEGS 120.655 24.3562 0.03869 -0.01441 nan 0.00049 0.0006 0.00189 
TSHI 121.6328 25.2569 0.0088 -0.00867 nan 0.00066 0.00079 0.0025 
TSIO 120.7041 24.4728 0.02961 -0.01788 nan 0.00061 0.00074 0.00233 
TTCS 121.2151 23.1249 -0.00529 -0.00335 nan 0.0005 0.00061 0.00192 
TTUN 121.0807 22.7646 0.01389 -0.00066 nan 0.00076 0.00092 0.0029 
TUNM 121.4936 23.9652 0.07784 -0.04203 nan 0.00087 0.00104 0.0033 
TUNS 120.4041 23.3172 0.02695 -0.00152 nan 0.0007 0.00084 0.00266 
WALI 121.6894 25.1758 0.01036 -0.00809 nan 0.00056 0.00068 0.00214 
WANS 120.8852 23.6075 0.00254 0.00956 nan 0.0006 0.00073 0.00229 
WDAN 120.5043 22.6061 0.00926 -0.00173 nan 0.0005 0.00061 0.00192 
WFEN 120.6995 24.0419 0.0474 -0.00487 nan 0.00052 0.00063 0.00199 
WIPN 121.0586 24.6746 0.04175 -0.04043 nan 0.00053 0.00064 0.00201 
WUKU 121.4007 25.1173 0.02047 -0.00727 nan 0.00107 0.00129 0.00407 
YAME 121.1853 24.9085 0.02098 -0.02675 nan 0.00062 0.00074 0.00236 
YENL 121.6019 23.9035 0.08015 -0.2095 nan 0.00053 0.00064 0.00203 
YLSS 121.653 24.6679 0.0245 -0.0169 nan 0.00049 0.00059 0.00186 
YUL1 121.3002 23.3214 0.00383 -0.02021 nan 0.00103 0.00124 0.00393 
YUSN 120.9591 23.4873 0.00778 -0.00351 nan 0.00121 0.00146 0.00461 
ZEND 120.2176 22.9433 -0.00513 0.00537 nan 0.00087 0.00104 0.0033 
ZUZH 121.5443 25.1622 0.01297 -0.01304 nan 0.00069 0.00083 0.00263 
