Lon Lat Los(m) wt E N U
-117.843194 35.894306 0.131905 1.000000 -0.621448 -0.111093 0.775539
-117.843194 35.876528 0.167458 1.000000 -0.621148 -0.111070 0.775783
-117.843194 35.858750 0.186976 1.000000 -0.620867 -0.111051 0.776010
-117.843194 35.840972 0.190719 1.000000 -0.620565 -0.111028 0.776255
-117.843194 35.823194 0.197674 1.000000 -0.620260 -0.111004 0.776502
-117.843194 35.805417 0.190678 1.000000 -0.619974 -0.110983 0.776734
-117.843194 35.787639 0.182744 1.000000 -0.619691 -0.110963 0.776962
-117.843194 35.769861 0.150531 1.000000 -0.619410 -0.110944 0.777189
-117.843194 35.752083 0.140601 1.000000 -0.619127 -0.110923 0.777418
-117.843194 35.734306 0.118269 1.000000 -0.618850 -0.110904 0.777641
-117.843194 35.716528 0.095484 1.000000 -0.618565 -0.110884 0.777870
-117.843194 35.663194 0.047397 1.000000 -0.617751 -0.110829 0.778525
-117.843194 35.645417 0.039416 1.000000 -0.617473 -0.110810 0.778748
-117.825417 35.983194 0.021489 1.000000 -0.624403 -0.111348 0.773126
-117.825417 35.965417 0.041349 1.000000 -0.624146 -0.111333 0.773335
-117.825417 35.947639 0.059540 1.000000 -0.623847 -0.111311 0.773579
-117.825417 35.929861 0.080968 1.000000 -0.623433 -0.111269 0.773919
-117.825417 35.912083 0.110547 1.000000 -0.623083 -0.111237 0.774205
-117.825417 35.894306 0.143472 1.000000 -0.622729 -0.111205 0.774495
-117.825417 35.876528 0.183734 1.000000 -0.622426 -0.111182 0.774742
-117.825417 35.858750 0.211636 1.000000 -0.622162 -0.111166 0.774956
-117.825417 35.840972 0.220406 1.000000 -0.621856 -0.111142 0.775205
-117.825417 35.823194 0.229044 1.000000 -0.621541 -0.111117 0.775461
-117.825417 35.805417 0.230148 1.000000 -0.621255 -0.111097 0.775693
-117.825417 35.787639 0.232527 1.000000 -0.620969 -0.111076 0.775925
-117.825417 35.769861 0.190969 1.000000 -0.620686 -0.111056 0.776154
-117.825417 35.752083 0.167474 1.000000 -0.620401 -0.111036 0.776385
-117.825417 35.734306 0.138686 1.000000 -0.620123 -0.111017 0.776610
-117.825417 35.716528 0.125545 1.000000 -0.619847 -0.110998 0.776833
-117.825417 35.698750 0.090899 1.000000 -0.619574 -0.110980 0.777053
-117.825417 35.680972 0.077133 1.000000 -0.619306 -0.110963 0.777269
-117.825417 35.663194 0.060961 1.000000 -0.619033 -0.110944 0.777489
-117.825417 35.645417 0.051089 1.000000 -0.618756 -0.110925 0.777712
-117.807639 35.983194 0.019491 1.000000 -0.625628 -0.111449 0.772120
-117.807639 35.965417 0.044523 1.000000 -0.625350 -0.111431 0.772347
-117.807639 35.947639 0.061454 1.000000 -0.625064 -0.111411 0.772582
-117.807639 35.929861 0.087791 1.000000 -0.624688 -0.111375 0.772891
-117.807639 35.912083 0.125565 1.000000 -0.624337 -0.111344 0.773179
-117.807639 35.894306 0.175285 1.000000 -0.624009 -0.111317 0.773448
-117.807639 35.876528 0.212709 1.000000 -0.623701 -0.111293 0.773700
-117.807639 35.858750 0.242111 1.000000 -0.623420 -0.111274 0.773929
-117.807639 35.840972 0.266567 1.000000 -0.623116 -0.111251 0.774177
-117.807639 35.823194 0.279645 1.000000 -0.622815 -0.111228 0.774422
-117.807639 35.805417 0.269750 1.000000 -0.622528 -0.111208 0.774656
-117.807639 35.787639 0.255824 1.000000 -0.622246 -0.111189 0.774885
-117.807639 35.769861 0.223555 1.000000 -0.621965 -0.111169 0.775114
-117.807639 35.752083 0.201543 1.000000 -0.621682 -0.111150 0.775343
