Lon Lat Los(m) wt E N U
-117.843194 35.663194 -0.096320 1.000000 0.649505 -0.113446 0.751847
-117.843194 35.645417 -0.084625 1.000000 0.649253 -0.113435 0.752066
-117.843194 35.343194 0.003010 1.000000 0.644839 -0.113222 0.755886
-117.825417 35.983194 -0.007531 1.000000 0.653120 -0.113594 0.748686
-117.825417 35.965417 -0.027062 1.000000 0.652924 -0.113593 0.748857
-117.825417 35.947639 -0.052205 1.000000 0.652622 -0.113575 0.749123
-117.825417 35.929861 -0.080224 1.000000 0.652294 -0.113551 0.749412
-117.825417 35.912083 -0.111228 1.000000 0.651954 -0.113526 0.749712
-117.825417 35.894306 -0.143951 1.000000 0.651640 -0.113505 0.749988
-117.825417 35.876528 -0.174169 1.000000 0.651367 -0.113491 0.750228
-117.825417 35.858750 -0.198144 1.000000 0.651109 -0.113480 0.750453
-117.825417 35.840972 -0.216852 1.000000 0.650840 -0.113466 0.750688
-117.825417 35.823194 -0.219553 1.000000 0.650559 -0.113451 0.750934
-117.825417 35.805417 -0.217395 1.000000 0.650302 -0.113439 0.751158
-117.825417 35.787639 -0.207473 1.000000 0.650046 -0.113428 0.751381
-117.825417 35.769861 -0.196957 1.000000 0.649790 -0.113417 0.751605
-117.825417 35.752083 -0.182734 1.000000 0.649535 -0.113405 0.751827
-117.825417 35.734306 -0.166722 1.000000 0.649283 -0.113395 0.752046
-117.825417 35.716528 -0.150795 1.000000 0.649033 -0.113384 0.752264
-117.825417 35.698750 -0.135159 1.000000 0.648788 -0.113375 0.752476
-117.825417 35.680972 -0.118338 1.000000 0.648547 -0.113365 0.752685
-117.825417 35.663194 -0.105978 1.000000 0.648301 -0.113355 0.752899
-117.825417 35.645417 -0.092411 1.000000 0.648051 -0.113345 0.753115
-117.825417 35.627639 -0.079221 1.000000 0.647807 -0.113335 0.753327
-117.825417 35.609861 -0.065425 1.000000 0.647565 -0.113326 0.753537
-117.807639 35.983194 -0.001895 1.000000 0.651956 -0.113513 0.749712
-117.807639 35.965417 -0.021466 1.000000 0.651743 -0.113509 0.749898
-117.807639 35.947639 -0.045655 1.000000 0.651464 -0.113494 0.750143
-117.807639 35.929861 -0.075380 1.000000 0.651106 -0.113466 0.750457
-117.807639 35.912083 -0.111640 1.000000 0.650773 -0.113441 0.750750
-117.807639 35.894306 -0.154233 1.000000 0.650459 -0.113420 0.751025
-117.807639 35.876528 -0.189072 1.000000 0.650189 -0.113407 0.751261
-117.807639 35.858750 -0.219241 1.000000 0.649918 -0.113393 0.751497
-117.807639 35.840972 -0.241798 1.000000 0.649646 -0.113379 0.751735
-117.807639 35.823194 -0.247875 1.000000 0.649368 -0.113364 0.751977
-117.807639 35.805417 -0.244736 1.000000 0.649110 -0.113352 0.752202
-117.807639 35.787639 -0.236071 1.000000 0.648853 -0.113340 0.752425
-117.807639 35.769861 -0.220811 1.000000 0.648596 -0.113329 0.752649
-117.807639 35.752083 -0.202841 1.000000 0.648340 -0.113317 0.752871
-117.807639 35.734306 -0.185899 1.000000 0.648086 -0.113306 0.753091
-117.807639 35.716528 -0.168424 1.000000 0.647835 -0.113295 0.753309
-117.807639 35.698750 -0.149863 1.000000 0.647590 -0.113285 0.753520
-117.807639 35.680972 -0.131841 1.000000 0.647345 -0.113275 0.753733
-117.807639 35.663194 -0.116344 1.000000 0.647098 -0.113265 0.753946
-117.807639 35.645417 -0.099560 1.000000 0.646853 -0.113255 0.754158
-117.807639 35.627639 -0.086024 1.000000 0.646608 -0.113245 0.754370
-117.807639 35.609861 -0.071531 1.000000 0.646360 -0.113234 0.754584
-117.789861 35.983194 0.007086 1.000000 0.650723 -0.113420 0.750797
-117.789861 35.965417 -0.010592 1.000000 0.650443 -0.113404 0.751041
-117.789861 35.947639 -0.038095 1.000000 0.650165 -0.113389 0.751285
