# Name lon lat v_east v_north v_up e_east e_north e_up 
CTDM 241.3868 34.5165 -0.00419 0.00423 0.00795 1.0 1.0 1.732 
CTMS 243.62959999999998 34.1241 -0.00401 0.0041 -0.00784 1.0 1.0 1.732 
CUHS 240.3261 34.9426 -0.00901 0.0018 -0.00106 1.0 1.0 1.732 
CVHS 242.0983 34.082 -0.00645 0.0046 -0.00149 1.0 1.0 1.732 
DAM2 241.60309999999998 34.3348 -0.00413 0.00222 -0.00668 1.0 1.0 1.732 
DAM3 241.60250000000002 34.334 -0.00384 0.00631 -0.00573 1.0 1.0 1.732 
DDMN 241.0188 37.7442 -0.00633 0.00039 0.00263 1.0 1.0 1.732 
DHLG 244.212 33.3898 -0.0069 0.00292 -0.01064 1.0 1.0 1.732 
DLNO 240.7569 35.75 -0.01257 0.00197 -0.00385 1.0 1.0 1.732 
DLUZ 242.6928 33.4306 -0.00315 0.00312 0.00101 1.0 1.0 1.732 
DOND 240.3099 37.2643 -0.00752 0.00081 0.00815 1.0 1.0 1.732 
DONO 240.982 36.6925 -0.00998 0.00152 0.00372 1.0 1.0 1.732 
DS13 243.20850000000002 35.2478 0.00797 -0.0001 -0.00676 1.0 1.0 1.732 
DSME 242.7505 33.0365 -0.00846 0.00238 0.00328 1.0 1.0 1.732 
DSSC 243.28789999999998 33.7333 -0.00548 0.00462 0.00301 1.0 1.0 1.732 
DTPG 242.1541 35.2675 0.00086 0.04374 0.00829 1.0 1.0 1.732 
DYH2 241.8725 33.9383 -0.00482 0.00265 0.0046 1.0 1.0 1.732 
ECFS 242.5883 33.6477 -0.00598 0.00495 0.00236 1.0 1.0 1.732 
EDPP 241.1696 34.9462 -0.00664 0.00214 -0.00346 1.0 1.0 1.732 
ELLY 241.8712 33.5835 -0.00804 -0.01603 -0.01136 1.0 1.0 1.732 
ELSC 241.79160000000002 34.0297 -0.00509 0.00415 0.00279 1.0 1.0 1.732 
ELSG 242.574 33.6491 -0.00602 0.00413 0.0015 1.0 1.0 1.732 
EOCG 240.2302 34.4508 -0.00744 0.00261 0.00452 1.0 1.0 1.732 
ERRG 244.1773 33.1164 -0.00683 0.00054 0.00052 1.0 1.0 1.732 
EWPP 242.4744 34.1042 -0.00486 0.00365 -0.00136 1.0 1.0 1.732 
FCTF 241.55790000000002 34.0666 -0.03158 -0.06541 0.01346 1.0 1.0 1.732 
FGST 239.9906 34.733 -0.00382 0.00066 -0.00362 1.0 1.0 1.732 
FHOG 243.0641 34.0935 -0.00738 0.00366 -0.00328 1.0 1.0 1.732 
FMTP 241.10590000000002 34.4099 -0.00581 0.00262 -0.00015 1.0 1.0 1.732 
FMVT 241.11599999999999 34.3563 -0.00618 0.00308 0.0026 1.0 1.0 1.732 
FVPK 242.0643 33.6623 -0.00694 0.00517 -0.00056 1.0 1.0 1.732 
FZHS 241.10660000000001 34.8002 -0.00604 0.00455 0.0083 1.0 1.0 1.732 
GHRP 242.6021 34.2039 -0.00604 0.00838 -0.00023 1.0 1.0 1.732 
GISA 242.7817 34.0693 -0.00436 0.00564 0.01109 1.0 1.0 1.732 
GLRS 244.4786 33.2748 -0.00564 0.00054 0.00197 1.0 1.0 1.732 
GMAG 243.6174 34.2914 -0.00411 0.00182 0.0011 1.0 1.0 1.732 
GMPK 245.17270000000002 33.0511 -0.00463 0.00082 -0.00185 1.0 1.0 1.732 
GMRC 244.3398 34.784 -0.00394 0.001 5e-05 1.0 1.0 1.732 
GNPS 245.8106 34.3086 -0.00582 -0.00036 -0.00262 1.0 1.0 1.732 
GOL2 243.1107 35.4252 0.02643 -0.00649 -0.00866 1.0 1.0 1.732 
GR8R 239.58429999999998 36.399 -0.00611 0.00153 0.00095 1.0 1.0 1.732 
HAR7 242.70080000000002 35.0115 -0.00586 0.02249 0.00603 1.0 1.0 1.732 
HBCO 241.7142 33.7836 -0.00362 0.00321 0.00484 1.0 1.0 1.732 
HCMN 243.56990000000002 34.7548 -0.00352 0.0023 0.00536 1.0 1.0 1.732 
HELB 240.977 36.6788 -0.00839 0.00029 -0.00523 1.0 1.0 1.732 
HIVI 242.2005 34.7599 -0.00383 0.01581 -0.00172 1.0 1.0 1.732 
HMTG 242.9985 33.7081 -0.0054 0.005 -0.00048 1.0 1.0 1.732 
HNPS 244.3647 33.705 -0.00561 0.00049 -0.00107 1.0 1.0 1.732 
HOGS 239.5205 35.8667 -0.00844 0.00124 0.00438 1.0 1.0 1.732 
HOL3 242.1549 34.4582 -0.00636 0.01161 0.01011 1.0 1.0 1.732 
HOTK 241.1787 37.6586 -0.00635 -0.00128 0.00675 1.0 1.0 1.732 
HUNT 239.5976 35.8808 -0.00676 0.00206 0.00132 1.0 1.0 1.732 
HVYS 240.8125 34.4412 -0.00622 0.00321 0.00275 1.0 1.0 1.732 
I40A 244.08859999999999 34.7273 -0.00183 0.0004 -0.01006 1.0 1.0 1.732 
IDOG 243.7785 33.7968 -0.00591 0.00409 0.00281 1.0 1.0 1.732 
IDQG 243.761 33.768 -0.00462 0.00141 -0.00091 1.0 1.0 1.732 
IMPS 244.8549 34.1576 -0.00322 0.0018 -0.00201 1.0 1.0 1.732 
ISLK 241.5257 35.6623 -0.03242 -0.00018 0.00597 1.0 1.0 1.732 
JLN5 239.1671 35.8732 -0.00762 0.00291 0.00465 1.0 1.0 1.732 
JNHG 242.0446 34.4491 -0.0026 0.00949 0.00021 1.0 1.0 1.732 
JPLM 241.8268 34.2048 -0.00355 0.0061 0.00024 1.0 1.0 1.732 
KBRC 240.9918 34.3985 -0.00495 0.00285 -0.00582 1.0 1.0 1.732 
KGMN 245.9976 35.2311 -0.00594 -0.00192 -0.00032 1.0 1.0 1.732 
KING 245.95850000000002 35.1974 -0.00585 8e-05 -0.00534 1.0 1.0 1.732 
KNOL 241.0208 37.6591 -0.00617 -0.00089 -0.00349 1.0 1.0 1.732 
KRAC 241.11950000000002 37.7133 -0.00579 -0.00162 0.00522 1.0 1.0 1.732 
KYVW 243.82659999999998 33.9254 -0.00411 0.00271 0.00356 1.0 1.0 1.732 
LAND 239.5267 35.8998 -0.00843 0.002 0.00591 1.0 1.0 1.732 
LAPC 241.4253 34.1819 -0.00504 0.0051 0.00577 1.0 1.0 1.732 
LBC1 241.8628 33.8321 -0.00932 0.00161 0.01464 1.0 1.0 1.732 
LBC2 241.8268 33.7916 -0.00588 0.00487 -0.0004 1.0 1.0 1.732 
LDES 243.5672 34.2673 -0.00297 0.00041 -0.00219 1.0 1.0 1.732 
LEMA 240.2176 36.292 -0.01035 0.00141 0.00422 1.0 1.0 1.732 
LFRS 241.5872 34.0951 -0.00447 0.00395 0.00303 1.0 1.0 1.732 
LGWD 242.2355 33.6406 -0.00652 0.00277 0.00222 1.0 1.0 1.732 
LINC 240.9827 37.6372 -0.00687 -3e-05 0.00371 1.0 1.0 1.732 
LINJ 241.86079999999998 34.662 -0.00333 0.00825 0.01037 1.0 1.0 1.732 
LJRN 241.1323 34.8075 -0.00778 0.0049 0.00129 1.0 1.0 1.732 
LKHG 243.2412 33.236 -0.00397 0.00294 -0.00801 1.0 1.0 1.732 
LL01 242.16500000000002 34.4855 -0.00559 0.01083 0.01146 1.0 1.0 1.732 
LLAS 242.1621 34.586 -0.00492 0.01204 0.00656 1.0 1.0 1.732 
LMHG 242.6087 33.7442 -0.00702 0.0059 -0.01332 1.0 1.0 1.732 
LNMT 243.06029999999998 35.0902 0.00068 0.00625 0.00364 1.0 1.0 1.732 
LOMP 239.5534 34.6909 -0.00759 0.00067 0.00188 1.0 1.0 1.732 
LORS 242.2459 34.1333 -0.00557 0.00541 0.00572 1.0 1.0 1.732 
LOWS 239.4057 35.8287 -0.00722 5e-05 0.00361 1.0 1.0 1.732 
LPHS 242.0433 34.0268 -0.00769 0.0063 0.00365 1.0 1.0 1.732 
LRRG 241.97 34.5271 -0.00486 0.00705 -0.00289 1.0 1.0 1.732 
LVMS 240.8963 34.7336 -0.00855 0.00322 0.00067 1.0 1.0 1.732 
MASW 239.55689999999998 35.8326 -0.00702 -0.00022 -0.00223 1.0 1.0 1.732 
MAT2 242.5633 33.8568 -0.00398 0.00417 0.00414 1.0 1.0 1.732 
