# Name lon lat v_east v_north v_up e_east e_north e_up 
BEPK 241.9259 35.8784 -0.00619 0.00386 0.0097 1.0 1.0 1.732 
BFSH 241.502 35.5911 0.00026 -0.00273 0.00938 1.0 1.0 1.732 
BSRY 242.988 34.9186 -0.00214 0.00334 0.00312 1.0 1.0 1.732 
CABS 242.95 34.8945 -0.0036 0.00273 0.00773 1.0 1.0 1.732 
CAIS 241.5127 35.6027 -0.0054 0.00078 0.00237 1.0 1.0 1.732 
CCCC 242.3288 35.5653 -0.04284 0.00449 0.01529 1.0 1.0 1.732 
CPBN 242.42700000000002 35.0717 -0.00232 0.00669 -0.00572 1.0 1.0 1.732 
DS13 243.20850000000002 35.2478 0.01226 0.00506 0.02036 1.0 1.0 1.732 
DTPG 242.1541 35.2675 -0.00119 0.00612 0.00647 1.0 1.0 1.732 
ELTN 241.5743 34.7031 0.0007 -0.00583 0.0118 1.0 1.0 1.732 
GOL2 243.1107 35.4252 0.00485 -0.00155 0.00802 1.0 1.0 1.732 
HAR7 242.70080000000002 35.0115 -0.0036 0.00655 0.00373 1.0 1.0 1.732 
HIVI 242.2005 34.7599 0.00672 -0.00533 0.00518 1.0 1.0 1.732 
ISLK 241.5257 35.6623 -0.00764 0.00159 0.00014 1.0 1.0 1.732 
LNMT 243.06029999999998 35.0902 -0.00176 0.0026 0.00247 1.0 1.0 1.732 
P463 242.83530000000002 36.0225 -0.00205 -0.0025 -0.0057 1.0 1.0 1.732 
P464 242.59 36.159 -0.00255 -0.00941 0.0036 1.0 1.0 1.732 
P568 241.8735 35.2543 -0.00426 0.00545 -0.00437 1.0 1.0 1.732 
P569 241.87619999999998 35.378 -0.0067 0.00327 -0.00723 1.0 1.0 1.732 
P570 241.74 35.6673 -0.006 0.00064 -0.01493 1.0 1.0 1.732 
P573 241.73950000000002 36.0931 0.00263 -0.00487 -0.02708 1.0 1.0 1.732 
P579 241.9942 35.0388 -0.0013 0.0044 0.00302 1.0 1.0 1.732 
P580 242.8078 35.6209 0.02252 -0.00212 0.00013 1.0 1.0 1.732 
P583 242.45659999999998 34.987 -0.00221 0.00598 -0.00162 1.0 1.0 1.732 
P588 242.73239999999998 34.7854 -0.00163 0.00163 0.00423 1.0 1.0 1.732 
P590 242.6352 35.1168 -0.00337 0.00545 0.00528 1.0 1.0 1.732 
P591 241.9835 35.1524 -0.00104 0.00531 0.00356 1.0 1.0 1.732 
P592 242.6968 35.2386 -0.00384 0.00865 -0.00703 1.0 1.0 1.732 
P593 242.79489999999998 35.3879 0.00056 0.00293 0.00359 1.0 1.0 1.732 
P594 242.60989999999998 35.8967 -0.01008 -0.02025 0.00157 1.0 1.0 1.732 
P595 242.5972 35.6976 0.10531 0.00344 0.02432 1.0 1.0 1.732 
P596 243.1105 35.9982 -0.00341 0.00215 -0.00601 1.0 1.0 1.732 
P597 243.1116 35.7106 0.00458 0.00387 -0.00246 1.0 1.0 1.732 
P604 243.32850000000002 34.9368 -0.00147 0.00147 -0.01202 1.0 1.0 1.732 
P615 243.2371 35.2046 5e-05 -0.00034 0.00527 1.0 1.0 1.732 
P616 242.1067 35.4246 -0.00914 0.00341 0.0016 1.0 1.0 1.732 
P617 243.4284 35.3206 -0.00311 0.00196 -0.00834 1.0 1.0 1.732 
P811 241.98340000000002 35.1524 0.00117 0.00184 0.00455 1.0 1.0 1.732 
P812 241.9835 35.1525 -0.00234 0.00277 0.01195 1.0 1.0 1.732 
RAMT 242.3167 35.3387 -0.00122 0.01826 0.00315 1.0 1.0 1.732 
RSTP 241.8071 34.8751 -0.00174 0.007 0.00694 1.0 1.0 1.732 
TEHA 241.53019999999998 35.1431 0.00119 0.00378 0.00065 1.0 1.0 1.732 
THCP 241.5854 35.1582 -0.00139 0.003 -0.00352 1.0 1.0 1.732 
TPOG 241.7714 34.8789 1e-05 0.00617 0.00977 1.0 1.0 1.732 
WHFG 241.648 35.6951 -0.00576 0.00209 0.00469 1.0 1.0 1.732 
WORG 241.7576 35.6956 0.00489 0.00214 -0.00165 1.0 1.0 1.732 
