# Name lon lat v_east v_north v_up e_east e_north e_up 
7ODM 242.9068 34.1164 -0.005685987711444022 -0.00037784509514007195 -0.005536892801042181 1.0 1.0 1.732 
ACSB 242.55509999999998 33.2743 -0.00542514435964134 0.0005644711090606073 0.002278157620647892 1.0 1.0 1.732 
ACSX 242.55509999999998 33.2743 -0.0054151443596413395 0.0002744711090606074 -0.0009318423793521085 1.0 1.0 1.732 
AGMT 243.5706 34.5943 -0.006976352426806596 0.001287521900928736 0.0025241532191846395 1.0 1.0 1.732 
ALTH 239.3302 36.8896 -0.0048782398497256895 0.0007039038992472154 0.0006356314247470064 1.0 1.0 1.732 
ANA1 240.6365 34.015 -0.006208133832140727 0.0007984843589102198 0.0011990597588398878 1.0 1.0 1.732 
AR27 242.6751 33.3418 -0.005439238699408222 0.0002902134927854857 -1.3760722208590488e-05 1.0 1.0 1.732 
AR53 242.5235 33.3811 -0.00466381394024479 -0.0004935388221675679 0.0017144976195797121 1.0 1.0 1.732 
ARM2 241.0894 35.2013 -0.005083994373996158 0.001779454552331474 -0.000638439889890685 1.0 1.0 1.732 
AVRY 242.846 34.4683 -0.007650878910308009 -0.00011792061736087475 -0.0017106053093096263 1.0 1.0 1.732 
AZBH 245.39499999999998 35.1075 -0.006826346498702148 0.0013649033015954754 -0.006364679650016512 1.0 1.0 1.732 
AZFM 245.4049 34.8522 -0.006248589852152558 -2.0686133329866744e-05 0.0014382470471513904 1.0 1.0 1.732 
AZGV 245.7457 35.2544 -0.007670494746257556 0.000861957803429793 -0.005073713189533197 1.0 1.0 1.732 
AZLH 245.6529 34.5083 -0.005634744146877323 0.002210611334405599 0.003266180627194528 1.0 1.0 1.732 
AZRY 243.3703 33.5401 -0.005077780649585188 0.001625751868254767 -0.0005540166655764562 1.0 1.0 1.732 
AZU1 242.1035 34.126 -0.008681625457624884 -0.001418034396097204 -0.002244961958061392 1.0 1.0 1.732 
AZYC 245.853 34.8793 -0.0037755947590977787 0.002851147421901781 0.0011863258925473368 1.0 1.0 1.732 
BALD 241.0986 37.7834 -0.005930633448315438 0.001563118602168524 0.0035455149636120812 1.0 1.0 1.732 
BAR1 240.9703 33.4805 -0.006134808190833585 -0.0005304801092792715 0.005537515634355749 1.0 1.0 1.732 
BBDM 240.01850000000002 34.5822 -0.0043141617489510465 0.0011250230567486671 -0.0028262098333331717 1.0 1.0 1.732 
BBRY 243.11579999999998 34.2643 -0.007235664328506598 -0.0020703708427712284 0.0015843505649884419 1.0 1.0 1.732 
BEMT 244.0018 34.0005 -0.0061271520167427325 0.001224494306201598 -0.00011826923816088719 1.0 1.0 1.732 
BEPK 241.9259 35.8784 0.0005563881728264941 -0.0024677586722261363 0.012117530020975167 1.0 1.0 1.732 
BFLD 240.9547 35.4131 -0.0028084107531575076 0.0012427954326714036 0.006665803124986148 1.0 1.0 1.732 
BFSH 241.502 35.5911 -0.002889424695101228 -0.00023429451904042925 0.006304711704366172 1.0 1.0 1.732 
BGIS 241.8403 33.9671 -0.004208110245247413 0.0004547624908721173 0.0006054891078998955 1.0 1.0 1.732 
BILL 242.93540000000002 33.5782 -0.007141435180384546 0.002205201523147695 -0.004373926833733026 1.0 1.0 1.732 
BKAP 243.9196 35.287 -0.00808622497599714 0.0003935113880800666 -0.0020285174838954893 1.0 1.0 1.732 
BKMS 241.9053 33.9623 -0.005702416434073658 -0.0016821204683258374 -0.002149271607507379 1.0 1.0 1.732 
BLYT 245.2851 33.6104 -0.00710956914875668 0.0009782701192311654 0.0018502574136475397 1.0 1.0 1.732 
BMHL 243.947 34.2514 -0.005659339877342993 0.002136176089693886 0.006775237897498512 1.0 1.0 1.732 
BOMG 244.27030000000002 33.3646 -0.005314171377806812 0.0012797460154863475 0.0016649259004805313 1.0 1.0 1.732 
BSRY 242.988 34.9186 -0.005447039462766406 -0.0033272831362978718 0.0055422298583628045 1.0 1.0 1.732 
BTDM 241.8118 34.2928 -0.005996030809484104 -0.0001155430650264912 0.007923238220143614 1.0 1.0 1.732 
BUEG 239.80360000000002 34.6128 -0.009588566456688683 -3.9934809453555224e-05 0.0010117787905701062 1.0 1.0 1.732 
BVPP 240.6525 35.1573 -0.0033726321656385285 0.0009551762426106079 0.004929189069673773 1.0 1.0 1.732 
CA99 241.1033 37.6446 -0.004569722666227233 0.000330329244608652 0.0002942078445874669 1.0 1.0 1.732 
CACT 244.0101 33.6551 -0.007421396314890898 0.0022386358738512393 0.0019909084409286504 1.0 1.0 1.732 
CAND 239.5663 35.9394 -0.004768174786379969 0.0010311808092851931 0.002923884387179664 1.0 1.0 1.732 
CARH 239.5692 35.8884 -0.003524914510203616 0.002137515515165528 -0.006472489143018357 1.0 1.0 1.732 
CASE 242.596 33.4554 -0.005469086104587716 0.0011396680991949291 -0.0021979154804261792 1.0 1.0 1.732 
CASN 240.1547 34.4157 -0.0054654112679357846 0.002172077741635124 0.001636648322400318 1.0 1.0 1.732 
CAT2 241.6662 33.3116 -0.006238607780691315 -0.00029131613420751686 0.001700371372622215 1.0 1.0 1.732 
CAT3 241.517 33.4458 -0.005306575646542479 0.0008388422212371655 0.002639562022825376 1.0 1.0 1.732 
CBHS 241.3702 34.1386 -0.007517212234659986 -0.0007398950033558464 0.011394448700475785 1.0 1.0 1.732 
CCCC 242.3288 35.5653 -0.008585417399166254 -0.003620148186106925 -0.011683972773426386 1.0 1.0 1.732 
CCCS 242.1351 33.8627 -0.00802052231938125 -0.0018842133364102192 -4.07163303623359e-05 1.0 1.0 1.732 
CDMT 243.66410000000002 34.8295 -0.004893166762749815 0.0007665364280508847 0.005753569586979177 1.0 1.0 1.732 
CHIL 241.974 34.3334 -0.005373681682603371 -0.0038608253161459723 0.0006308703756817522 1.0 1.0 1.732 
CHMS 242.1723 34.6405 -0.005807353580148306 -0.0027727424268029818 -0.0023806389627664885 1.0 1.0 1.732 
CHOW 239.7895 37.0849 -0.003656915056276323 0.0020013081983233506 -0.01162463813773082 1.0 1.0 1.732 
