Sta Lon Lat de(m) dn(m) du(m) sde(m) sdn(m) sdu(m)
CAT2 -118.333800 33.311600 -0.005830 0.002560 0.002740 1 1 1.732000
CAT3 -118.483000 33.445800 -0.004860 0.003780 0.003700 1 1 1.732000
CBHS -118.629800 34.138600 -0.006960 0.003420 0.012760 1 1 1.732000
CCCC -117.671200 35.565300 -0.049830 0.213140 0.002530 1 1 1.732000
CCCS -117.864900 33.862700 -0.007400 0.003390 0.001830 1 1 1.732000
CDMT -116.335900 34.829500 0.000070 0.001260 0.004630 1 1 1.732000
CHIL -118.026000 34.333400 -0.004120 0.004590 0.003500 1 1 1.732000
CHMS -117.827700 34.640500 -0.003780 0.012080 0.002420 1 1 1.732000
CHOW -120.210500 37.084900 -0.005620 0.002190 -0.012260 1 1 1.732000
CIRX -118.937300 34.109600 -0.006020 0.002560 0.006380 1 1 1.732000
CIT1 -118.127300 34.136700 -0.008650 0.003640 0.002630 1 1 1.732000
CJMG -117.424500 34.271200 -0.008730 0.008750 0.007000 1 1 1.732000
CJMS -117.479400 34.313800 -0.006730 0.008850 0.004010 1 1 1.732000
CLAR -117.708800 34.109900 -0.006740 0.006740 0.001560 1 1 1.732000
CLBD -117.311000 33.135400 -0.005670 0.003100 0.005230 1 1 1.732000
CMP9 -118.411400 34.353200 -0.005950 0.004430 -0.007110 1 1 1.732000
CNPP -117.608900 33.857600 -0.005470 0.003360 0.002180 1 1 1.732000
COPR -119.879500 34.414900 -0.007650 0.000950 -0.002900 1 1 1.732000
CPBN -117.573000 35.071700 -0.002980 0.037530 0.009780 1 1 1.732000
CRBT -120.750800 35.791600 -0.007280 0.001410 0.004620 1 1 1.732000
CRCN -119.568000 36.114000 -0.009830 0.000520 0.004190 1 1 1.732000
CRFP -117.099700 34.039100 -0.004320 0.005190 0.003810 1 1 1.732000
CRGG -119.724800 35.242100 -0.006200 0.003750 0.002030 1 1 1.732000
CRHS -118.272800 33.823500 -0.008820 -0.004170 0.008640 1 1 1.732000
CRRS -115.735000 33.069800 -0.005940 0.002610 0.000340 1 1 1.732000
CRU1 -119.784800 34.029300 -0.006060 0.001670 0.000610 1 1 1.732000
CSCI -119.039000 34.168400 -0.004910 0.003720 -0.000460 1 1 1.732000
CSDH -118.256700 33.861500 -0.003570 0.002700 0.011700 1 1 1.732000
CSST -119.371200 34.408100 -0.006030 0.002010 0.002230 1 1 1.732000
CTDM -118.613200 34.516500 -0.004190 0.004230 0.007950 1 1 1.732000
CTMS -116.370400 34.124100 -0.004010 0.004100 -0.007840 1 1 1.732000
CUHS -119.673900 34.942600 -0.009010 0.001800 -0.001060 1 1 1.732000
CVHS -117.901700 34.082000 -0.006450 0.004600 -0.001490 1 1 1.732000
DAM2 -118.396900 34.334800 -0.004130 0.002220 -0.006680 1 1 1.732000
DAM3 -118.397500 34.334000 -0.003840 0.006310 -0.005730 1 1 1.732000
DDMN -118.981200 37.744200 -0.006330 0.000390 0.002630 1 1 1.732000
DHLG -115.788000 33.389800 -0.006900 0.002920 -0.010640 1 1 1.732000
DLNO -119.243100 35.750000 -0.012570 0.001970 -0.003850 1 1 1.732000
DLUZ -117.307200 33.430600 -0.003150 0.003120 0.001010 1 1 1.732000
DOND -119.690100 37.264300 -0.007520 0.000810 0.008150 1 1 1.732000
DONO -119.018000 36.692500 -0.009980 0.001520 0.003720 1 1 1.732000
DS13 -116.791500 35.247800 0.007970 -0.000100 -0.006760 1 1 1.732000
DSME -117.249500 33.036500 -0.008460 0.002380 0.003280 1 1 1.732000
DSSC -116.712100 33.733300 -0.005480 0.004620 0.003010 1 1 1.732000
DTPG -117.845900 35.267500 0.000860 0.043740 0.008290 1 1 1.732000
DYH2 -118.127500 33.938300 -0.004820 0.002650 0.004600 1 1 1.732000
ECFS -117.411700 33.647700 -0.005980 0.004950 0.002360 1 1 1.732000
EDPP -118.830400 34.946200 -0.006640 0.002140 -0.003460 1 1 1.732000
ELLY -118.128800 33.583500 -0.008040 -0.016030 -0.011360 1 1 1.732000
ELSC -118.208400 34.029700 -0.005090 0.004150 0.002790 1 1 1.732000
ELSG -117.426000 33.649100 -0.006020 0.004130 0.001500 1 1 1.732000
EOCG -119.769800 34.450800 -0.007440 0.002610 0.004520 1 1 1.732000
ERRG -115.822700 33.116400 -0.006830 0.000540 0.000520 1 1 1.732000
EWPP -117.525600 34.104200 -0.004860 0.003650 -0.001360 1 1 1.732000
FCTF -118.442100 34.066600 -0.031580 -0.065410 0.013460 1 1 1.732000
FGST -120.009400 34.733000 -0.003820 0.000660 -0.003620 1 1 1.732000
FHOG -116.935900 34.093500 -0.007380 0.003660 -0.003280 1 1 1.732000
FMTP -118.894100 34.409900 -0.005810 0.002620 -0.000150 1 1 1.732000
FMVT -118.884000 34.356300 -0.006180 0.003080 0.002600 1 1 1.732000
FVPK -117.935700 33.662300 -0.006940 0.005170 -0.000560 1 1 1.732000
FZHS -118.893400 34.800200 -0.006040 0.004550 0.008300 1 1 1.732000
GHRP -117.397900 34.203900 -0.006040 0.008380 -0.000230 1 1 1.732000
GISA -117.218300 34.069300 -0.004360 0.005640 0.011090 1 1 1.732000
GLRS -115.521400 33.274800 -0.005640 0.000540 0.001970 1 1 1.732000
GMAG -116.382600 34.291400 -0.004110 0.001820 0.001100 1 1 1.732000
GMPK -114.827300 33.051100 -0.004630 0.000820 -0.001850 1 1 1.732000
GMRC -115.660200 34.784000 -0.003940 0.001000 0.000050 1 1 1.732000
GNPS -114.189400 34.308600 -0.005820 -0.000360 -0.002620 1 1 1.732000
GOL2 -116.889300 35.425200 0.026430 -0.006490 -0.008660 1 1 1.732000
GR8R -120.415700 36.399000 -0.006110 0.001530 0.000950 1 1 1.732000
HAR7 -117.299200 35.011500 -0.005860 0.022490 0.006030 1 1 1.732000
HBCO -118.285800 33.783600 -0.003620 0.003210 0.004840 1 1 1.732000
HCMN -116.430100 34.754800 -0.003520 0.002300 0.005360 1 1 1.732000
HELB -119.023000 36.678800 -0.008390 0.000290 -0.005230 1 1 1.732000
HIVI -117.799500 34.759900 -0.003830 0.015810 -0.001720 1 1 1.732000
HMTG -117.001500 33.708100 -0.005400 0.005000 -0.000480 1 1 1.732000
HNPS -115.635300 33.705000 -0.005610 0.000490 -0.001070 1 1 1.732000
HOGS -120.479500 35.866700 -0.008440 0.001240 0.004380 1 1 1.732000
HOL3 -117.845100 34.458200 -0.006360 0.011610 0.010110 1 1 1.732000
HOTK -118.821300 37.658600 -0.006350 -0.001280 0.006750 1 1 1.732000
HUNT -120.402400 35.880800 -0.006760 0.002060 0.001320 1 1 1.732000
HVYS -119.187500 34.441200 -0.006220 0.003210 0.002750 1 1 1.732000
I40A -115.911400 34.727300 -0.001830 0.000400 -0.010060 1 1 1.732000
IDOG -116.221500 33.796800 -0.005910 0.004090 0.002810 1 1 1.732000
IDQG -116.239000 33.768000 -0.004620 0.001410 -0.000910 1 1 1.732000
IMPS -115.145100 34.157600 -0.003220 0.001800 -0.002010 1 1 1.732000
ISLK -118.474300 35.662300 -0.032420 -0.000180 0.005970 1 1 1.732000
JLN5 -120.832900 35.873200 -0.007620 0.002910 0.004650 1 1 1.732000
JNHG -117.955400 34.449100 -0.002600 0.009490 0.000210 1 1 1.732000
JPLM -118.173200 34.204800 -0.003550 0.006100 0.000240 1 1 1.732000
KBRC -119.008200 34.398500 -0.004950 0.002850 -0.005820 1 1 1.732000
KGMN -114.002400 35.231100 -0.005940 -0.001920 -0.000320 1 1 1.732000
KING -114.041500 35.197400 -0.005850 0.000080 -0.005340 1 1 1.732000
KNOL -118.979200 37.659100 -0.006170 -0.000890 -0.003490 1 1 1.732000
KRAC -118.880500 37.713300 -0.005790 -0.001620 0.005220 1 1 1.732000
KYVW -116.173400 33.925400 -0.004110 0.002710 0.003560 1 1 1.732000
LAND -120.473300 35.899800 -0.008430 0.002000 0.005910 1 1 1.732000
LAPC -118.574700 34.181900 -0.005040 0.005100 0.005770 1 1 1.732000
LBC1 -118.137200 33.832100 -0.009320 0.001610 0.014640 1 1 1.732000
LBC2 -118.173200 33.791600 -0.005880 0.004870 -0.000400 1 1 1.732000
LDES -116.432800 34.267300 -0.002970 0.000410 -0.002190 1 1 1.732000
LEMA -119.782400 36.292000 -0.010350 0.001410 0.004220 1 1 1.732000
LFRS -118.412800 34.095100 -0.004470 0.003950 0.003030 1 1 1.732000
LGWD -117.764500 33.640600 -0.006520 0.002770 0.002220 1 1 1.732000
LINC -119.017300 37.637200 -0.006870 -0.000030 0.003710 1 1 1.732000
LINJ -118.139200 34.662000 -0.003330 0.008250 0.010370 1 1 1.732000
LJRN -118.867700 34.807500 -0.007780 0.004900 0.001290 1 1 1.732000
LKHG -116.758800 33.236000 -0.003970 0.002940 -0.008010 1 1 1.732000
LL01 -117.835000 34.485500 -0.005590 0.010830 0.011460 1 1 1.732000
LLAS -117.837900 34.586000 -0.004920 0.012040 0.006560 1 1 1.732000
LMHG -117.391300 33.744200 -0.007020 0.005900 -0.013320 1 1 1.732000
LNMT -116.939700 35.090200 0.000680 0.006250 0.003640 1 1 1.732000
LOMP -120.446600 34.690900 -0.007590 0.000670 0.001880 1 1 1.732000
LORS -117.754100 34.133300 -0.005570 0.005410 0.005720 1 1 1.732000
LOWS -120.594300 35.828700 -0.007220 0.000050 0.003610 1 1 1.732000
LPHS -117.956700 34.026800 -0.007690 0.006300 0.003650 1 1 1.732000
LRRG -118.030000 34.527100 -0.004860 0.007050 -0.002890 1 1 1.732000
LVMS -119.103700 34.733600 -0.008550 0.003220 0.000670 1 1 1.732000
MASW -120.443100 35.832600 -0.007020 -0.000220 -0.002230 1 1 1.732000
MAT2 -117.436700 33.856800 -0.003980 0.004170 0.004140 1 1 1.732000
MERC -115.979000 36.632500 -0.003130 -0.000850 -0.004030 1 1 1.732000
MHMS -118.244100 33.939100 -0.003770 0.005090 0.002250 1 1 1.732000
MIDA -120.458800 35.921900 -0.008220 0.002370 -0.000250 1 1 1.732000
MINS -119.060900 37.653800 -0.006280 0.000250 0.002730 1 1 1.732000
MJPK -117.550500 33.714500 -0.006720 0.003970 -0.000480 1 1 1.732000
MLFP -117.318000 33.918400 -0.004150 0.004620 0.003750 1 1 1.732000
MNMC -120.434100 35.969500 -0.008920 0.000630 -0.002330 1 1 1.732000
MPWD -118.878000 34.295500 -0.007290 0.002800 -0.004720 1 1 1.732000
MSOB -117.210100 34.230800 -0.002070 0.010060 0.023690 1 1 1.732000
MTGG -116.647200 33.199200 -0.004040 0.004010 0.011530 1 1 1.732000
MULN -120.091600 36.565100 -0.007090 0.002000 -0.001750 1 1 1.732000
MUSB -119.309400 37.169900 -0.006780 0.000390 0.005900 1 1 1.732000
MVFD -116.525300 33.210900 -0.008460 0.001930 -0.006700 1 1 1.732000
MWTP -118.944700 37.640500 -0.005740 -0.002270 -0.000360 1 1 1.732000
NDAP -114.618600 34.767700 -0.002220 0.001500 0.001860 1 1 1.732000
NHRG -119.141300 34.498700 -0.006460 0.002420 0.003560 1 1 1.732000
NOCO -117.569600 33.919700 -0.006750 0.004610 0.004310 1 1 1.732000
NOPK -118.348000 33.979700 -0.005020 0.003960 0.002380 1 1 1.732000
OAES -116.067700 34.141000 -0.002830 0.001490 0.000570 1 1 1.732000
OCSD -117.346700 33.240700 -0.005170 0.003770 0.000610 1 1 1.732000
OEOC -117.744100 33.765900 -0.008350 0.004070 0.003150 1 1 1.732000
ORES -120.278600 34.739100 -0.007310 0.001260 -0.006560 1 1 1.732000
ORMT -116.815100 34.674900 -0.001510 0.004880 0.004940 1 1 1.732000
OVLS -119.141900 34.327400 -0.007190 0.003250 -0.002730 1 1 1.732000
OZST -119.353400 34.683400 -0.007540 0.001200 0.002440 1 1 1.732000
P006 -114.456900 36.154200 -0.004420 0.001530 -0.004410 1 1 1.732000
P056 -119.062900 36.027400 -0.014950 0.001630 -0.003910 1 1 1.732000
P091 -117.531500 36.614300 -0.007230 -0.023530 0.002740 1 1 1.732000
P092 -117.406800 36.804200 -0.007490 -0.012920 0.003390 1 1 1.732000
P093 -117.994100 36.606000 -0.006070 -0.011570 0.003030 1 1 1.732000
P094 -117.704200 37.200800 -0.005050 -0.006320 -0.001530 1 1 1.732000
P245 -119.706100 37.713100 -0.006510 -0.000230 0.005910 1 1 1.732000
P280 -120.347600 35.544100 -0.007560 0.001100 -0.000240 1 1 1.732000
P281 -120.389500 35.841100 -0.006240 0.000770 0.000420 1 1 1.732000
P282 -120.345200 35.837800 -0.007880 -0.000250 0.003370 1 1 1.732000
P283 -120.285300 35.806700 -0.007050 0.000900 0.000980 1 1 1.732000
P284 -120.906800 35.933300 -0.006080 0.002850 -0.004220 1 1 1.732000
P285 -120.981500 36.417200 -0.006790 0.001250 0.003460 1 1 1.732000
P287 -120.697800 36.024800 -0.008060 0.002310 -0.002260 1 1 1.732000
P288 -120.878900 36.140200 -0.005350 -0.000500 0.001690 1 1 1.732000
P289 -120.748800 36.106800 -0.007050 0.001160 -0.004820 1 1 1.732000
P290 -120.728300 36.178900 -0.007340 -0.000330 0.002940 1 1 1.732000
P291 -120.644800 35.922800 -0.006600 0.000090 0.006630 1 1 1.732000
P292 -120.475300 36.007500 -0.009120 0.001900 0.005040 1 1 1.732000
P293 -120.543000 36.089400 -0.006940 0.000420 0.002180 1 1 1.732000
P294 -120.439900 36.123200 -0.007530 0.002330 -0.001720 1 1 1.732000
P295 -120.842400 35.697100 -0.007120 0.000850 -0.001050 1 1 1.732000
P296 -120.363600 36.051700 -0.007150 0.004290 0.010350 1 1 1.732000
P297 -120.551900 35.974100 -0.006840 0.000180 -0.000200 1 1 1.732000
P298 -120.294100 36.015800 -0.007100 0.001470 0.003230 1 1 1.732000
P299 -120.710200 36.256800 -0.007160 -0.000310 -0.000180 1 1 1.732000
P300 -120.277000 36.304400 -0.007030 -0.000010 0.002980 1 1 1.732000
P301 -120.743100 36.806300 -0.006500 0.000410 0.003160 1 1 1.732000
P302 -120.618600 36.634700 -0.007630 -0.000960 0.005680 1 1 1.732000
P304 -120.356600 36.739000 -0.006570 0.001880 0.000740 1 1 1.732000
P305 -120.196800 37.352200 -0.008000 0.002100 -0.006380 1 1 1.732000
P306 -120.644500 37.795200 -0.006740 0.001610 0.000420 1 1 1.732000
P307 -120.057900 36.947300 -0.008620 0.002760 -0.005340 1 1 1.732000
P308 -119.840200 37.901200 -0.005900 0.001570 0.007330 1 1 1.732000
P311 -118.519800 37.177600 -0.005420 -0.001520 -0.001010 1 1 1.732000
P463 -117.164700 36.022500 0.014400 -0.023420 0.003130 1 1 1.732000
P464 -117.410000 36.159000 -0.023500 -0.092480 0.016920 1 1 1.732000
P465 -118.132400 36.466800 -0.008360 -0.007510 0.006240 1 1 1.732000
P466 -117.789500 36.531200 -0.003450 -0.023520 0.003770 1 1 1.732000
P467 -118.090600 36.570200 -0.006730 -0.009480 0.005770 1 1 1.732000
P468 -118.118400 36.975700 -0.004370 -0.004710 -0.004420 1 1 1.732000
P469 -117.935800 37.231400 -0.005930 -0.004480 0.002920 1 1 1.732000
P470 -117.393900 34.462400 -0.004880 0.007310 0.001870 1 1 1.732000
P471 -117.540900 33.562100 -0.005430 0.002790 0.001860 1 1 1.732000
P474 -117.248700 33.355200 -0.004940 0.003360 -0.000640 1 1 1.732000
P476 -117.189700 33.439600 -0.005070 0.003540 -0.003280 1 1 1.732000
P477 -117.113400 33.502800 -0.005440 0.003510 -0.007750 1 1 1.732000
P478 -117.071600 33.235700 -0.005750 0.003360 -0.002090 1 1 1.732000
P479 -116.782900 33.493300 -0.007370 0.002040 -0.003430 1 1 1.732000
P482 -116.671400 33.240200 -0.006790 0.004430 0.003880 1 1 1.732000
P483 -116.569300 33.059200 -0.004130 0.002400 0.002380 1 1 1.732000
P484 -116.620800 33.375600 -0.005430 0.002670 -0.001270 1 1 1.732000
P485 -116.409000 33.210200 -0.006170 0.004800 0.004890 1 1 1.732000
P486 -116.322300 33.260200 -0.005360 0.000980 0.001110 1 1 1.732000
P487 -116.183100 33.213500 -0.004900 0.001650 -0.006060 1 1 1.732000
P488 -116.078800 33.201000 -0.006790 0.002550 0.000400 1 1 1.732000
P489 -116.111600 33.296200 -0.005460 0.000630 -0.000390 1 1 1.732000
P490 -116.425900 33.523500 -0.004530 0.002180 -0.001810 1 1 1.732000
P491 -116.226800 33.574700 -0.004310 0.002440 -0.002960 1 1 1.732000
P495 -115.628400 33.045000 -0.005340 0.002390 0.003570 1 1 1.732000
P505 -115.687000 33.423900 -0.005030 0.000950 0.000650 1 1 1.732000
P506 -115.510200 33.081400 -0.005280 -0.000450 0.000670 1 1 1.732000
P507 -115.612400 33.200000 -0.005830 0.000150 0.005790 1 1 1.732000
P508 -115.428700 33.247800 -0.004980 0.000340 -0.003760 1 1 1.732000
P510 -115.343300 33.143600 -0.006620 0.000630 -0.007930 1 1 1.732000
P511 -115.296100 33.886900 -0.004670 0.001890 -0.001200 1 1 1.732000
P512 -119.694400 37.562600 -0.004010 -0.000360 -0.001340 1 1 1.732000
P513 -120.650200 34.907300 -0.007370 0.000810 -0.000690 1 1 1.732000
P514 -120.409700 35.010700 -0.007460 0.001680 0.002460 1 1 1.732000
P515 -120.239800 34.870600 -0.008270 0.000410 -0.000840 1 1 1.732000
P516 -120.383400 35.106200 -0.007280 0.000560 0.008440 1 1 1.732000
P517 -118.177600 34.376400 -0.005380 0.006460 -0.000800 1 1 1.732000
P518 -120.075300 35.020000 -0.007610 0.001920 -0.004290 1 1 1.732000
P519 -119.792400 34.507800 -0.007220 0.001550 -0.000780 1 1 1.732000
P520 -119.616400 34.630500 -0.006240 0.002470 -0.003860 1 1 1.732000
P521 -119.815400 34.888600 -0.008280 0.000860 -0.001260 1 1 1.732000
P523 -120.860300 35.304400 -0.006140 0.001080 0.002870 1 1 1.732000
P525 -120.808100 35.425800 -0.006260 0.000450 0.000580 1 1 1.732000
P526 -120.869700 35.636000 -0.006740 0.000340 0.001140 1 1 1.732000
P527 -120.604800 35.754100 -0.008680 0.000880 0.003070 1 1 1.732000
P528 -120.545400 35.327800 -0.007560 0.000930 -0.000050 1 1 1.732000
P529 -120.353800 35.440500 -0.007720 0.001590 0.002920 1 1 1.732000
P530 -120.480400 35.624800 -0.008230 -0.000530 0.004580 1 1 1.732000
P531 -120.536600 35.792700 -0.007760 0.001080 0.007210 1 1 1.732000
P532 -120.267000 35.633800 -0.007320 0.001480 0.000700 1 1 1.732000
P533 -120.371000 35.747900 -0.005900 0.000360 0.003750 1 1 1.732000
P535 -120.101400 35.235100 -0.007580 0.001250 0.004850 1 1 1.732000
P536 -120.025000 35.279800 -0.006370 0.001320 -0.002800 1 1 1.732000
P537 -119.935300 35.316800 -0.008030 0.000160 -0.000820 1 1 1.732000
P538 -120.112500 35.534200 -0.008200 0.001820 -0.002480 1 1 1.732000
P539 -120.182000 35.702700 -0.007980 0.001340 -0.002380 1 1 1.732000
P540 -120.130600 35.801300 -0.010300 0.000350 -0.005190 1 1 1.732000
P541 -120.000700 35.686700 -0.008320 0.001310 0.003500 1 1 1.732000
P542 -120.292600 35.688900 -0.007960 0.000470 0.001300 1 1 1.732000
P543 -119.713200 35.319000 -0.009590 0.000870 0.009590 1 1 1.732000
P544 -119.738000 35.731300 -0.009790 -0.000120 -0.000120 1 1 1.732000
P545 -119.535800 35.499800 -0.010640 0.001030 -0.001900 1 1 1.732000
P546 -120.154900 35.927900 -0.008140 0.002400 0.001350 1 1 1.732000
P547 -119.909400 35.934700 -0.009460 0.001320 -0.001490 1 1 1.732000
P548 -119.503900 34.466800 -0.004970 0.002050 0.000790 1 1 1.732000
P550 -119.114600 34.660100 -0.007180 0.001790 0.004160 1 1 1.732000
P551 -119.154600 34.856200 -0.009550 0.007330 -0.006450 1 1 1.732000
P552 -120.245000 35.686700 -0.005820 0.001820 -0.004250 1 1 1.732000
P553 -118.879000 34.835100 -0.006550 0.003140 0.005580 1 1 1.732000
P554 -118.848000 34.792300 -0.006030 0.005530 0.003770 1 1 1.732000
P555 -118.669400 34.695000 -0.008520 0.003570 0.004590 1 1 1.732000
P556 -118.545500 34.771100 -0.005930 0.005610 0.012740 1 1 1.732000
P557 -118.655600 34.944400 -0.007660 0.003720 -0.000280 1 1 1.732000
P558 -118.611700 35.138600 -0.009870 0.002170 -0.005020 1 1 1.732000
P560 -118.540900 34.821800 -0.006510 0.006100 -0.003450 1 1 1.732000
P561 -118.399100 34.618500 -0.004470 0.007700 -0.031340 1 1 1.732000
P563 -119.421200 35.418700 -0.010590 0.002350 0.005550 1 1 1.732000
P564 -119.349400 35.622900 -0.012750 0.001370 -0.005140 1 1 1.732000
P565 -119.236700 35.743900 -0.011890 0.000930 -0.004930 1 1 1.732000
P566 -119.229300 36.324500 -0.008920 0.002360 -0.000420 1 1 1.732000
P567 -118.753600 35.420900 -0.015520 0.000800 -0.000240 1 1 1.732000
P568 -118.126500 35.254300 -0.010130 0.012370 -0.000890 1 1 1.732000
P569 -118.123800 35.378000 -0.015970 0.012090 0.007360 1 1 1.732000
P570 -118.260000 35.667300 -0.051730 0.000540 -0.005760 1 1 1.732000
P572 -118.954600 36.585500 -0.010840 0.002420 0.001540 1 1 1.732000
P573 -118.260500 36.093100 -0.034350 0.008080 0.002450 1 1 1.732000
P574 -117.633900 34.286800 -0.006670 0.007640 -0.000450 1 1 1.732000
P575 -117.542200 34.215500 -0.004790 0.006960 -0.000280 1 1 1.732000
P576 -120.970000 35.669700 -0.008200 0.000170 0.006240 1 1 1.732000
P577 -117.318900 34.304600 -0.004850 0.004830 0.002130 1 1 1.732000
P578 -120.239000 35.694300 -0.007030 0.002660 -0.005370 1 1 1.732000
P579 -118.005800 35.038800 -0.002790 0.017380 0.002340 1 1 1.732000
P580 -117.192200 35.620900 0.191710 -0.022670 -0.006030 1 1 1.732000
P581 -117.729000 34.509700 -0.004620 0.010070 0.005350 1 1 1.732000
P582 -117.548900 34.634300 -0.004120 0.011660 -0.001930 1 1 1.732000
P583 -117.543400 34.987000 -0.002410 0.026600 0.007270 1 1 1.732000
P584 -116.951600 33.892600 -0.005590 0.003690 0.001410 1 1 1.732000
P585 -116.545700 34.019300 -0.005560 0.002090 0.010680 1 1 1.732000
P586 -117.280500 34.534800 -0.006600 0.009510 0.006490 1 1 1.732000
P587 -118.031300 34.332200 -0.003890 0.006970 0.002660 1 1 1.732000
P588 -117.267600 34.785400 -0.002000 0.013520 0.004320 1 1 1.732000
P589 -117.110200 34.620700 -0.004610 0.009540 0.003000 1 1 1.732000
P590 -117.364800 35.116800 -0.005420 0.037040 0.006970 1 1 1.732000
P591 -118.016500 35.152400 -0.004190 0.018080 0.002410 1 1 1.732000
P592 -117.303200 35.238600 -0.005250 0.040480 0.003630 1 1 1.732000
P593 -117.205100 35.387900 0.017850 0.016690 -0.002310 1 1 1.732000
P594 -117.390100 35.896700 0.065760 -0.126630 0.005160 1 1 1.732000
P595 -117.402800 35.697600 0.514050 -0.249840 0.042840 1 1 1.732000
P596 -116.889500 35.998200 0.019220 0.000920 -0.004620 1 1 1.732000
P597 -116.888400 35.710600 0.053660 -0.002590 -0.006720 1 1 1.732000
P598 -116.710300 34.192500 -0.002550 0.001500 0.000850 1 1 1.732000
P600 -116.211900 33.865800 -0.003380 0.002010 0.000710 1 1 1.732000
P601 -116.080200 33.959300 -0.003900 0.000770 -0.001890 1 1 1.732000
P602 -120.227900 35.729200 -0.007640 0.000800 -0.001940 1 1 1.732000
P603 -116.029500 34.716900 -0.002010 0.000750 -0.005280 1 1 1.732000
P604 -116.671500 34.936800 0.000230 0.002360 0.005730 1 1 1.732000
P605 -117.936700 34.341100 -0.004560 0.006670 0.000570 1 1 1.732000
P606 -116.879600 34.462100 -0.003000 0.004850 0.002440 1 1 1.732000
P607 -115.820700 33.741000 -0.003870 0.002030 0.003770 1 1 1.732000
P608 -115.686600 33.994100 -0.003970 0.001690 -0.003740 1 1 1.732000
P609 -116.892800 34.062700 -0.006350 0.005960 -0.002360 1 1 1.732000
P611 -115.649800 35.204800 0.000670 -0.000860 -0.000160 1 1 1.732000
P612 -117.315500 34.187400 -0.005250 0.005440 -0.000930 1 1 1.732000
P613 -117.050000 34.196200 -0.004360 0.006290 0.003010 1 1 1.732000
P614 -115.250300 34.731800 -0.003680 0.000870 0.007930 1 1 1.732000
P615 -116.762900 35.204600 0.006310 -0.000690 -0.010550 1 1 1.732000
