Sta Lon Lat de(m) dn(m) du(m) sde(m) sdn(m) sdu(m)
7ODM -117.093200 34.116400 -0.005340 0.005270 -0.003660 1 1 1.732000
ACSB -117.444900 33.274300 -0.005190 0.003580 0.003370 1 1 1.732000
ACSX -117.444900 33.274300 -0.005180 0.003290 0.000160 1 1 1.732000
AGMT -116.429400 34.594300 -0.004360 0.003290 0.002490 1 1 1.732000
ALTH -120.669800 36.889600 -0.006870 0.001000 -0.000070 1 1 1.732000
ANA1 -119.363500 34.015000 -0.006400 0.002570 0.001630 1 1 1.732000
AR27 -117.324900 33.341800 -0.005220 0.003390 0.001100 1 1 1.732000
AR53 -117.476500 33.381100 -0.004400 0.002820 0.002910 1 1 1.732000
ARM2 -118.910600 35.201300 -0.011970 0.003140 -0.002490 1 1 1.732000
AVRY -117.154000 34.468300 -0.007120 0.008790 0.001110 1 1 1.732000
AZBH -114.605000 35.107500 -0.003910 0.000960 -0.007430 1 1 1.732000
AZFM -114.595100 34.852200 -0.003690 -0.000410 0.000510 1 1 1.732000
AZGV -114.254300 35.254400 -0.005190 0.000560 -0.005990 1 1 1.732000
AZLH -114.347100 34.508300 -0.003780 0.001930 0.002600 1 1 1.732000
AZRY -116.629700 33.540100 -0.004830 0.004070 0.000250 1 1 1.732000
AZU1 -117.896500 34.126000 -0.007790 0.005590 0.000190 1 1 1.732000
AZYC -114.147000 34.879300 -0.001700 0.002550 0.000420 1 1 1.732000
BALD -118.901400 37.783400 -0.006390 -0.000270 0.004060 1 1 1.732000
BAR1 -119.029700 33.480500 -0.005850 0.001610 0.006270 1 1 1.732000
BBDM -119.981500 34.582200 -0.005970 0.001680 -0.003250 1 1 1.732000
BBRY -116.884200 34.264300 -0.006690 0.003100 0.003180 1 1 1.732000
BEMT -115.998200 34.000500 -0.005070 0.002390 -0.000010 1 1 1.732000
BEPK -118.074100 35.878400 -0.098920 0.012870 -0.008070 1 1 1.732000
BFLD -119.045300 35.413100 -0.012260 0.001860 0.003700 1 1 1.732000
BFSH -118.498000 35.591100 -0.029160 0.001190 -0.001100 1 1 1.732000
BGIS -118.159700 33.967100 -0.003430 0.005730 0.002460 1 1 1.732000
BILL -117.064600 33.578200 -0.006930 0.005600 -0.003190 1 1 1.732000
BKAP -116.080400 35.287000 0.002240 -0.001260 -0.005430 1 1 1.732000
BKMS -118.094700 33.962300 -0.004930 0.003740 -0.000240 1 1 1.732000
BLYT -114.714900 33.610400 -0.006190 0.001080 0.001620 1 1 1.732000
BMHL -116.053000 34.251400 -0.004050 0.003210 0.006700 1 1 1.732000
BOMG -115.729700 33.364600 -0.004830 0.002190 0.001850 1 1 1.732000
BSRY -117.012000 34.918600 -0.002700 0.007420 0.008020 1 1 1.732000
BTDM -118.188200 34.292800 -0.004870 0.007040 0.010350 1 1 1.732000
BUEG -120.196400 34.612800 -0.011270 0.000360 0.000530 1 1 1.732000
BVPP -119.347500 35.157300 -0.008370 0.001550 0.003400 1 1 1.732000
CA99 -118.896700 37.644600 -0.005150 -0.001560 0.000790 1 1 1.732000
CACT -115.989900 33.655100 -0.006820 0.003490 0.002260 1 1 1.732000
CAND -120.433700 35.939400 -0.008190 0.001400 0.001680 1 1 1.732000
CARH -120.430800 35.888400 -0.006960 0.002490 -0.007720 1 1 1.732000
CASE -117.404000 33.455400 -0.005210 0.004620 -0.000950 1 1 1.732000
CASN -119.845300 34.415700 -0.006700 0.002970 0.001430 1 1 1.732000
